vaga,empresa,area,data,cidade,estado,fonte,link
Analista De Dados Pleno - Barra Funda,Empresa confidencial,Informática| TI| Telecomunicações - Administrador de Banco de Dados,02/01,         São Paulo,SP,INFOJOBS,https://www.infojobs.com.br/vaga-de-analista-dados-pleno-barra-funda-em-sao-paulo__6694887.aspx
Analista De Testes De Software Qa Sênior,Empresa confidencial,Informática| TI| Telecomunicações - Programador / Desenvolvedor,Hoje ,         São Paulo,SP,INFOJOBS,https://www.infojobs.com.br/vaga-de-analista-testes-software-qa-senior-em-sao-paulo__6698861.aspx
Analista De Suporte Técnico,PROCFIT,Informática| TI| Telecomunicações - Suporte Técnico,Hoje ,            Santos,SP,INFOJOBS,https://www.infojobs.com.br/vaga-de-analista-suporte-tecnico-em-sao-paulo__6698735.aspx
Programador Pleno - Santo André,Empresa confidencial,Informática| TI| Telecomunicações - Programador / Desenvolvedor,Ontem,       Santo André,SP,INFOJOBS,https://www.infojobs.com.br/vaga-de-programador-pleno-santo-andre-em-sao-paulo__6698288.aspx
Programador - Pleno,TECSYSTEMS TECNOLOGIA E SISTEMAS LTDA,Informática| TI| Telecomunicações - Programador / Desenvolvedor,Ontem,         São Paulo,SP,INFOJOBS,https://www.infojobs.com.br/vaga-de-programador-pleno-em-sao-paulo__6588321.aspx
Analista De Sistemas Erp - Sistema Senior,PHANTOM CLOUD,Informática| TI| Telecomunicações - Análise de Sistema,Ontem,     Florianópolis,SC,INFOJOBS,https://www.infojobs.com.br/vaga-de-analista-sistemas-erp-sistema-senior-em-santa-catarina__6697815.aspx
Analista De Suporte Técnico - N,DALLA SOLUCOES,Informática| TI| Telecomunicações - Suporte Técnico,Ontem,         São Paulo,SP,INFOJOBS,https://www.infojobs.com.br/vaga-de-analista-suporte-tecnico-n-em-sao-paulo__6587696.aspx
Analista De Redes Ii,Pimenta e Associados,Informática| TI| Telecomunicações - TI,Ontem,    Belo Horizonte,MG,INFOJOBS,https://www.infojobs.com.br/vaga-de-analista-redes-ii-em-minas-gerais__6697630.aspx
Analista Iii - Redes,CSU CARDSYSTEM,Informática| TI| Telecomunicações - Administrador de Redes,Ontem,           Barueri,SP,INFOJOBS,https://www.infojobs.com.br/vaga-de-analista-iii-redes-em-sao-paulo__6697543.aspx
Engenheiro Eletricista - Temporária,PETINELLI,Engenharia - Engenharia Elétrica| Eletrônica| Eletrotécnica,Ontem,          Curitiba,PR,INFOJOBS,https://www.infojobs.com.br/vaga-de-engenheiro-eletricista-temporaria-em-parana__6587570.aspx
